DI,StructuralIntegrity,ExteriorCharm
276,5,Common
277,5,Gleaming
278,8,Common
279,5,Gleaming
280,5,Common
281,5,Gleaming
282,8,Common
283,5,Gleaming
284,7,Common
285,5,Common
286,5,Gleaming
287,7,Common
288,4,Common
289,5,Common
290,8,Common
291,6,Common
292,7,Common
293,5,Common
294,8,Common
295,6,Common
296,5,Gleaming
297,6,Common
298,5,Common
299,5,Common
300,3,Common
301,5,Gleaming
302,5,Gleaming
303,5,Gleaming
304,5,Gleaming
305,5,Gleaming
306,5,Gleaming
307,5,Common
308,5,Common
309,5,Common
310,7,Common
311,3,Modest
312,5,Gleaming
313,2,Modest
314,7,Common
315,5,Gleaming
316,5,Gleaming
317,5,Common
318,5,Common
319,5,Gleaming
320,5,Enchanting
321,5,Gleaming
322,5,Common
323,5,Gleaming
324,5,Common
325,5,Common
326,6,Common
327,6,Common
328,5,Common
329,5,Gleaming
330,5,Common
331,7,Common
332,5,Common
333,7,Common
334,5,Enchanting
335,5,Enchanting
336,6,Common
337,7,Gleaming
338,7,Common
339,5,Gleaming
340,5,Common
341,5,Gleaming
342,5,Gleaming
343,6,Common
344,5,Gleaming
345,7,Common
346,5,Common
347,6,Common
348,7,Common
349,7,Gleaming
350,5,Common
351,8,Common
352,6,Modest
353,6,Common
354,4,Common
355,7,Common
356,7,Common
357,4,Common
358,6,Common
359,6,Common
360,5,Gleaming
361,5,Enchanting
362,7,Common
363,7,Common
364,7,Common
365,5,Common
366,7,Gleaming
367,6,Common
368,6,Common
369,6,Common
370,5,Common
371,5,Gleaming
372,5,Gleaming
373,6,Common
374,5,Common
375,4,Common
376,5,Common
377,5,Gleaming
378,5,Gleaming
379,5,Common
380,5,Gleaming
381,5,Gleaming
382,5,Common
383,5,Gleaming
384,7,Gleaming
385,5,Gleaming
386,5,Modest
387,6,Common
388,3,Common
389,6,Enchanting
390,5,Gleaming
391,5,Common
392,4,Common
393,5,Enchanting
394,5,Common
395,5,Gleaming
396,4,Common
397,5,Common
398,7,Common
399,7,Common
400,4,Gleaming
401,6,Common
402,5,Gleaming
403,5,Gleaming
404,6,Common
405,5,Gleaming
406,6,Common
407,5,Gleaming
408,7,Gleaming
409,6,Common
410,5,Common
411,5,Common
412,8,Common
413,5,Gleaming
414,5,Gleaming
415,4,Common
416,5,Common
417,6,Common
418,6,Common
419,5,Common
420,6,Common
421,5,Common
422,7,Common
423,5,Common
424,7,Common
425,6,Common
426,7,Gleaming
427,9,Gleaming
428,5,Enchanting
429,5,Common
430,5,Common
431,6,Common
432,4,Common
433,7,Gleaming
434,5,Gleaming
435,5,Gleaming
436,5,Modest
437,4,Common
438,8,Common
439,5,Common
440,5,Gleaming
441,7,Common
442,5,Gleaming
443,6,Common
444,7,Common
445,8,Common
446,5,Common
447,5,Gleaming
448,6,Gleaming
449,5,Common
450,5,Common
451,6,Common
452,5,Common
453,5,Common
454,6,Gleaming
455,3,Common
456,7,Common
457,5,Gleaming
458,9,Common
459,6,Gleaming
460,6,Gleaming
461,5,Common
462,6,Common
463,6,Common
464,5,Gleaming
465,7,Common
466,5,Common
467,5,Gleaming
468,7,Gleaming
469,4,Common
470,6,Common
471,5,Common
472,5,Common
473,6,Common
474,8,Gleaming
475,7,Gleaming
476,5,Gleaming
477,6,Common
478,5,Gleaming
479,6,Common
480,6,Common
481,7,Common
482,5,Gleaming
483,6,Common
484,5,Gleaming
485,5,Common
486,5,Gleaming
487,6,Common
488,5,Gleaming
489,5,Gleaming
490,5,Common
491,5,Common
492,4,Common
493,3,Common
494,5,Common
495,6,Common
496,6,Common
497,6,Common
498,5,Gleaming
499,5,Common
500,5,Gleaming
501,6,Common
502,5,Common
503,5,Common
504,5,Common
505,5,Gleaming
506,5,Common
507,4,Common
508,5,Enchanting
509,7,Gleaming
510,5,Common
511,7,Common
512,6,Common
513,5,Common
514,5,Gleaming
515,8,Common
516,6,Common
517,5,Common
518,5,Gleaming
519,8,Common
520,6,Common
521,5,Gleaming
522,7,Common
523,7,Gleaming
524,8,Common
525,7,Common
526,5,Gleaming
527,5,Enchanting
528,5,Gleaming
529,5,Gleaming
530,5,Gleaming
531,5,Common
532,8,Common
533,5,Gleaming
534,5,Gleaming
535,1,Common
536,5,Common
537,5,Common
538,5,Gleaming
539,5,Common
540,7,Common
541,5,Common
542,8,Common
543,5,Common
544,5,Gleaming
545,5,Enchanting
546,5,Common
547,5,Common
548,5,Common
549,9,Common
550,5,Common
551,9,Common
552,6,Common
553,5,Common
554,7,Common
555,5,Gleaming
556,5,Common
557,5,Gleaming
557,5,Gleaming
558,7,Common
559,8,Common
560,5,Gleaming
561,6,Common
562,5,Common
563,5,Common
564,5,Common
565,5,Gleaming
566,5,Common
567,5,Gleaming
568,5,Common
569,5,Gleaming
570,5,Gleaming
571,6,Common
572,5,Common
573,5,Gleaming
574,5,Common
575,5,Common
576,7,Common
577,5,Common
578,6,Gleaming
579,5,Common
580,7,Common
581,5,Common
582,5,Gleaming
583,8,Common
584,5,Gleaming
585,9,Enchanting
586,5,Gleaming
587,5,Gleaming
588,5,Gleaming
589,5,Enchanting
590,8,Common
591,8,Common
592,5,Gleaming
593,9,Common
594,5,Gleaming
595,7,Gleaming
596,8,Common
597,6,Common
598,4,Common
599,6,Common
600,5,Gleaming
601,5,Gleaming
602,8,Common
603,6,Common
604,5,Common
605,5,Gleaming
606,6,Common
607,6,Common
608,6,Common
609,5,Gleaming
610,5,Common
611,5,Gleaming
612,5,Gleaming
613,7,Common
614,8,Gleaming
615,5,Gleaming
616,6,Common
617,5,Gleaming
618,5,Common
619,6,Common
620,5,Common
621,5,Common
622,6,Common
623,8,Common
624,5,Gleaming
625,5,Common
626,5,Common
627,5,Common
628,5,Gleaming
629,7,Common
630,5,Common
631,7,Common
632,5,Common
633,5,Gleaming
634,5,Gleaming
635,5,Gleaming
636,6,Common
637,5,Common
638,5,Gleaming
639,7,Common
640,7,Common
641,6,Common
642,3,Common
643,5,Gleaming
644,5,Gleaming
645,5,Gleaming
646,6,Gleaming
647,5,Gleaming
648,5,Common
649,5,Gleaming
650,7,Common
651,5,Common
652,5,Gleaming
653,6,Common
654,6,Common
655,6,Common
656,5,Common
657,5,Gleaming
658,8,Common
659,5,Common
660,6,Common
661,6,Common
662,7,Common
663,3,Common
664,5,Common
665,5,Gleaming
666,6,Common
667,5,Common
668,5,Common
669,6,Common
670,7,Common
671,5,Common
672,5,Gleaming
673,6,Common
674,7,Common
675,7,Common
676,5,Common
677,5,Gleaming
678,5,Common
679,8,Gleaming
680,6,Common
681,6,Common
682,7,Common
683,6,Common
684,5,Common
685,7,Common
686,5,Gleaming
687,5,Gleaming
688,6,Common
689,5,Common
690,6,Common
691,5,Gleaming
691,5,Gleaming
692,9,Common
693,5,Gleaming
694,5,Common
695,5,Common
696,5,Gleaming
697,8,Common
698,5,Gleaming
699,7,Gleaming
700,5,Gleaming
701,5,Gleaming
702,5,Common
703,5,Gleaming
704,5,Gleaming
705,5,Common
706,4,Common
707,5,Common
708,5,Gleaming
709,6,Common
710,5,Common
711,6,Common
712,5,Gleaming
713,5,Gleaming
714,5,Gleaming
715,6,Common
716,5,Common
717,5,Gleaming
718,5,Gleaming
719,5,Common
719,5,Common
720,5,Gleaming
721,5,Gleaming
722,5,Gleaming
723,5,Gleaming
724,7,Common
725,8,Common
726,7,Common
727,5,Enchanting
728,5,Common
729,5,Enchanting
730,5,Common
731,5,Gleaming
732,4,Common
733,5,Gleaming
734,5,Enchanting
735,6,Common
735,6,Common
736,6,Common
737,6,Common
738,5,Common
739,7,Common
740,5,Gleaming
741,6,Common
742,5,Gleaming
743,5,Common
744,4,Modest
745,6,Common
746,5,Gleaming
747,5,Gleaming
748,5,Gleaming
749,6,Common
750,5,Gleaming
751,7,Common
752,5,Gleaming
753,5,Common
754,5,Common
755,5,Gleaming
756,5,Common
757,5,Common
758,6,Common
759,6,Common
760,5,Gleaming
761,5,Common
762,5,Gleaming
763,5,Common
764,6,Common
765,5,Gleaming
766,5,Common
767,6,Common
768,4,Common
769,6,Common
770,5,Gleaming
771,5,Common
772,5,Gleaming
773,5,Gleaming
774,6,Common
775,7,Gleaming
776,5,Common
777,5,Gleaming
778,5,Common
779,5,Common
780,5,Common
781,7,Common
782,5,Enchanting
783,5,Common
784,6,Common
785,5,Common
786,5,Gleaming
787,6,Common
788,6,Gleaming
789,4,Common
790,6,Gleaming
791,5,Gleaming
792,5,Common
793,5,Common
794,7,Common
795,7,Common
796,7,Common
797,5,Gleaming
798,5,Gleaming
799,5,Common
800,8,Common
801,3,Common
802,7,Gleaming
803,5,Common
804,5,Common
805,5,Gleaming
806,5,Common
807,5,Gleaming
808,5,Gleaming
809,5,Common
810,7,Gleaming
811,8,Gleaming
812,5,Gleaming
813,5,Gleaming
814,5,Gleaming
815,5,Common
816,5,Modest
817,5,Gleaming
818,5,Gleaming
819,7,Common
820,5,Common
821,5,Common
822,5,Common
823,5,Common
824,6,Gleaming
825,5,Common
826,5,Common
827,4,Common
828,5,Common
829,5,Gleaming
830,8,Gleaming
831,6,Common
832,5,Gleaming
833,5,Gleaming
834,6,Common
835,8,Common
836,5,Common
837,7,Gleaming
838,5,Common
839,5,Gleaming
840,5,Common
841,5,Common
842,5,Gleaming
843,8,Common
844,9,Common
845,8,Common
846,6,Common
847,5,Common
848,5,Gleaming
849,5,Gleaming
850,5,Gleaming
851,5,Common
852,5,Common
853,5,Common
854,6,Common
855,5,Common
856,6,Common
857,6,Gleaming
858,5,Common
859,7,Common
860,5,Enchanting
861,8,Common
862,5,Gleaming
863,7,Common
864,5,Common
865,5,Gleaming
866,7,Common
867,6,Common
868,6,Common
869,5,Enchanting
870,5,Gleaming
871,5,Common
872,5,Common
873,5,Common
874,5,Gleaming
875,5,Gleaming
876,6,Common
877,5,Gleaming
878,5,Gleaming
879,5,Gleaming
880,6,Common
880,6,Common
881,6,Common
882,7,Common
883,5,Common
884,5,Gleaming
885,5,Common
886,5,Gleaming
887,7,Common
888,5,Common
889,5,Gleaming
890,5,Gleaming
891,5,Common
892,4,Common
893,6,Common
894,5,Common
895,5,Common
896,5,Gleaming
897,7,Common
898,5,Gleaming
899,5,Common
900,5,Common
901,4,Common
902,6,Common
903,5,Gleaming
904,5,Enchanting
905,5,Gleaming
906,5,Common
907,5,Common
908,5,Common
909,5,Gleaming
910,5,Gleaming
911,5,Gleaming
912,4,Common
913,6,Common
914,8,Common
915,5,Gleaming
916,5,Gleaming
917,7,Common
918,5,Gleaming
919,5,Common
920,5,Gleaming
921,5,Gleaming
922,6,Common
923,6,Common
924,8,Common
925,3,Common
926,8,Common
927,5,Gleaming
928,5,Enchanting
929,5,Common
930,5,Gleaming
931,5,Common
932,4,Common
933,5,Gleaming
934,7,Common
935,5,Common
936,5,Gleaming
937,5,Gleaming
938,8,Gleaming
939,5,Gleaming
940,5,Common
941,3,Common
942,5,Gleaming
943,7,Gleaming
944,6,Common
945,7,Common
946,7,Common
947,5,Gleaming
948,5,Gleaming
949,6,Common
950,7,Common
951,5,Common
952,5,Gleaming
953,5,Enchanting
954,5,Common
955,5,Common
956,5,Common
957,5,Gleaming
958,5,Enchanting
959,5,Common
960,5,Common
961,5,Common
962,6,Common
963,5,Gleaming
964,5,Common
965,5,Gleaming
966,5,Gleaming
967,6,Gleaming
968,5,Enchanting
969,7,Common
970,5,Gleaming
971,6,Common
972,6,Common
973,5,Common
974,5,Gleaming
975,5,Enchanting
976,5,Gleaming
977,5,Gleaming
978,5,Common
979,8,Gleaming
980,1,Common
981,5,Gleaming
982,5,Gleaming
983,7,Common
984,7,Common
985,5,Gleaming
986,4,Common
987,5,Gleaming
988,5,Common
989,8,Common
990,7,Common
991,4,Common
992,4,Common
993,6,Common
994,5,Gleaming
995,6,Common
996,5,Gleaming
997,5,Gleaming
998,5,Common
999,5,Common
1000,5,Common
1001,5,Common
1002,5,Gleaming
1003,7,Common
1004,7,Gleaming
1005,5,Gleaming
1006,5,Enchanting
1007,5,Common
1007,5,Common
1008,6,Common
1009,5,Common
1009,5,Common
1010,5,Common
1011,5,Common
1012,7,Common
1013,5,Common
1014,5,Common
1015,5,Common
1016,5,Gleaming
1017,7,Common
1018,5,Gleaming
1019,5,Common
1020,7,Common
1021,8,Common
1022,5,Gleaming
1023,6,Common
1024,5,Gleaming
1025,6,Common
1026,6,Common
1027,7,Modest
1028,5,Common
1029,6,Common
1030,6,Common
1031,5,Common
1032,5,Common
1033,6,Common
1034,5,Gleaming
1035,5,Gleaming
1036,4,Common
1037,5,Gleaming
1038,7,Common
1039,6,Common
1040,4,Common
1041,6,Common
1042,8,Enchanting
1043,6,Common
1044,8,Common
1045,5,Gleaming
1046,5,Gleaming
1047,6,Gleaming
1047,6,Gleaming
1048,7,Common
1049,8,Common
1050,7,Common
1051,8,Common
1052,5,Gleaming
1053,8,Common
1054,6,Common
1055,6,Common
1056,5,Gleaming
1057,8,Common
1058,5,Gleaming
1059,6,Common
1060,7,Common
1061,5,Gleaming
1062,6,Common
1063,7,Common
1064,6,Common
1065,7,Common
1066,7,Common
1067,6,Common
1068,5,Common
1069,7,Common
1070,4,Common
1071,7,Common
1072,6,Common
1073,8,Modest
1074,5,Enchanting
1075,5,Gleaming
1076,5,Common
1077,7,Common
1078,5,Common
1079,5,Gleaming
1080,3,Common
1081,7,Common
1082,5,Gleaming
1083,8,Common
1084,5,Common
1085,5,Common
1086,5,Common
1087,5,Common
1088,5,Common
1089,5,Gleaming
1090,5,Common
1091,4,Common
1092,6,Common
1093,5,Gleaming
1094,6,Common
1095,6,Gleaming
1096,6,Common
1097,8,Common
1098,5,Gleaming
1099,6,Common
1100,5,Common
1101,5,Gleaming
1102,5,Enchanting
1103,5,Common
1104,5,Common
1105,5,Gleaming
1106,6,Common
1107,5,Gleaming
1108,8,Common
1109,5,Gleaming
1110,6,Common
1111,6,Common
1112,7,Common
1113,7,Common
1114,5,Gleaming
1115,5,Gleaming
1116,7,Common
1117,5,Common
1118,3,Common
1119,6,Common
1120,5,Common
1121,5,Gleaming
1122,5,Common
1123,7,Common
1124,6,Common
1125,5,Common
1126,7,Common
1127,5,Common
1128,5,Common
1129,4,Gleaming
1130,6,Common
1131,7,Common
1132,5,Gleaming
1133,5,Gleaming
1134,5,Common
1135,6,Common
1136,5,Enchanting
1137,7,Common
1138,8,Common
1139,5,Common
1140,5,Common
1141,5,Gleaming
1142,5,Gleaming
1143,5,Gleaming
1144,5,Gleaming
1145,7,Common
1146,5,Common
1147,6,Gleaming
1148,5,Gleaming
1149,6,Common
1150,5,Common
1151,6,Common
1152,9,Gleaming
1153,6,Common
1154,5,Gleaming
1155,3,Common
1156,5,Common
1157,8,Gleaming
1157,8,Gleaming
1158,5,Gleaming
1159,5,Gleaming
1160,5,Common
1161,5,Enchanting
1162,3,Gleaming
1163,5,Modest
1164,5,Common
1165,5,Gleaming
1166,7,Common
1167,5,Gleaming
1168,4,Common
1169,5,Gleaming
1170,5,Common
1171,7,Common
1172,5,Gleaming
1173,5,Enchanting
1174,5,Gleaming
1175,5,Gleaming
1176,5,Common
1177,5,Common
1178,4,Common
1179,5,Common
1180,5,Gleaming
1181,6,Common
1182,7,Common
1183,6,Common
1184,6,Common
1185,6,Common
1186,5,Common
1187,5,Gleaming
1188,6,Common
1189,5,Common
1190,5,Common
1191,5,Gleaming
1192,5,Common
1193,5,Common
1194,5,Common
1195,5,Gleaming
1196,5,Gleaming
1197,5,Common
1198,6,Common
1199,5,Gleaming
1200,8,Common
1201,5,Gleaming
1202,5,Gleaming
1203,5,Common
1204,5,Common
1205,5,Common
1206,7,Common
1207,6,Common
1208,7,Common
1209,5,Gleaming
1210,6,Common
1211,6,Common
1212,5,Gleaming
1213,5,Common
1214,6,Common
1215,5,Gleaming
1216,5,Common
1217,5,Common
1218,5,Common
1219,5,Gleaming
1220,5,Common
1221,6,Common
1222,3,Common
1223,5,Common
1224,3,Common
1225,6,Common
1226,8,Gleaming
1227,5,Gleaming
1228,7,Common
1229,5,Common
1230,5,Common
1231,6,Common
1232,6,Common
1233,5,Common
1234,5,Common
1235,5,Common
1236,5,Common
1237,5,Gleaming
1238,5,Gleaming
1239,5,Common
1240,9,Common
1241,4,Common
1242,6,Common
1243,5,Common
1244,6,Common
1245,7,Gleaming
1246,5,Common
1247,5,Gleaming
1248,5,Gleaming
1249,5,Common
1250,6,Common
1251,6,Gleaming
1252,5,Gleaming
1253,5,Enchanting
1254,5,Gleaming
1255,4,Common
1256,5,Common
1257,5,Gleaming
1258,7,Common
1259,5,Common
1260,5,Gleaming
1261,7,Common
1262,5,Gleaming
1263,6,Common
1264,5,Common
1265,5,Common
1266,5,Enchanting
1267,6,Common
1268,8,Common
1269,5,Gleaming
1270,5,Gleaming
1271,8,Common
1272,5,Gleaming
1273,6,Common
1274,5,Gleaming
1275,5,Common
1276,7,Common
1277,6,Common
1278,5,Common
1279,5,Common
1280,5,Common
1281,5,Common
1282,5,Common
1283,5,Gleaming
1284,5,Gleaming
1285,6,Common
1286,7,Common
1287,3,Modest
1288,5,Gleaming
1289,7,Gleaming
1290,6,Common
1291,7,Common
1292,6,Common
1293,5,Gleaming
1294,7,Common
1295,5,Common
1296,5,Common
1297,5,Common
1298,5,Gleaming
1299,7,Common
1300,8,Common
1301,6,Gleaming
1302,6,Common
1303,6,Common
1304,5,Gleaming
1305,5,Gleaming
1306,5,Gleaming
1307,5,Common
1308,7,Common
1309,7,Common
1310,5,Common
1311,3,Modest
1312,5,Common
1313,4,Common
1314,6,Common
1315,9,Common
1316,5,Common
1317,6,Common
1318,5,Common
1319,5,Common
1320,5,Common
1321,8,Gleaming
1322,5,Gleaming
1323,5,Common
1324,8,Common
1325,6,Common
1326,7,Common
1327,5,Common
1328,6,Common
1329,5,Gleaming
1330,5,Gleaming
1331,5,Common
1332,6,Common
1333,5,Gleaming
1334,6,Common
1335,6,Common
1336,5,Gleaming
1337,5,Common
1338,5,Gleaming
1339,6,Common
1340,5,Common
1341,4,Common
1342,5,Gleaming
1343,5,Common
1344,5,Enchanting
1345,5,Common
1346,7,Common
1347,5,Common
1348,5,Modest
1349,5,Common
1350,7,Common
1351,5,Common
1352,5,Enchanting
1353,7,Common
1354,5,Gleaming
1355,5,Gleaming
1356,8,Common
1357,5,Common
1358,5,Gleaming
1359,5,Gleaming
1360,5,Gleaming
1361,5,Gleaming
1362,5,Common
1363,5,Common
1364,5,Common
1365,7,Common
1366,5,Enchanting
1367,5,Gleaming
1368,5,Gleaming
1369,5,Gleaming
1370,7,Common
1371,3,Modest
1372,6,Common
1373,7,Common
1374,5,Common
1375,5,Common
1376,5,Common
1377,7,Common
1378,5,Gleaming
1379,8,Common
1380,9,Common
1381,5,Gleaming
1382,7,Common
1383,3,Common
1384,7,Common
1385,6,Common
1386,5,Enchanting
1387,5,Common
1388,6,Common
1389,6,Common
1390,6,Common
1391,5,Gleaming
1392,5,Common
1393,8,Common
1394,5,Gleaming
1395,7,Common
1396,6,Common
1397,7,Common
1398,8,Common
1399,5,Gleaming
1400,5,Common
1401,5,Common
1402,6,Common
1403,5,Gleaming
1404,7,Common
1405,5,Common
1406,5,Gleaming
1407,5,Gleaming
1408,6,Common
1409,5,Common
1410,5,Common
1411,9,Gleaming
1412,5,Gleaming
1413,5,Common
1414,5,Common
1415,7,Common
1416,6,Common
1417,5,Gleaming
1418,8,Common
1419,5,Common
1420,6,Common
1421,9,Gleaming
1422,5,Gleaming
1423,9,Gleaming
1424,5,Common
1425,7,Modest
1426,5,Common
1427,4,Modest
1428,4,Common
1429,5,Gleaming
1430,5,Gleaming
1431,6,Common
1432,9,Enchanting
1433,6,Common
1434,6,Common
1435,8,Common
1436,5,Common
1437,5,Gleaming
1438,5,Common
1439,5,Common
1440,5,Gleaming
1441,6,Common
1442,5,Gleaming
1443,5,Common
1444,5,Gleaming
1445,5,Gleaming
1446,7,Common
1447,5,Enchanting
1448,6,Common
1449,5,Common
1450,8,Gleaming
1451,5,Common
1452,7,Common
1453,7,Common
1454,6,Common
1455,5,Common
1456,6,Common
1457,5,Common
1458,5,Common
1459,3,Common
1460,5,Gleaming
1461,5,Common
1462,5,Gleaming
1463,6,Gleaming
1464,5,Gleaming
1465,5,Common
1466,5,Common
1467,5,Gleaming
1468,4,Common
1469,7,Common
1470,6,Common
1471,5,Common
1472,5,Gleaming
1473,5,Common
1474,6,Common
1475,5,Common
1476,5,Common
1477,6,Common
1478,3,Common
1479,7,Common
1480,6,Common
1481,5,Gleaming
1481,5,Gleaming
1482,4,Common
1483,5,Common
1484,5,Gleaming
1485,5,Common
1486,5,Common
1487,7,Common
1488,6,Common
1489,5,Common
1490,5,Gleaming
1491,5,Gleaming
1492,7,Gleaming
1493,8,Common
1494,6,Modest
1495,5,Common
1496,5,Common
1497,7,Common
1498,3,Gleaming
1498,3,Gleaming
1499,5,Common
1500,5,Gleaming
1501,6,Common
1502,5,Enchanting
1503,5,Common
1504,4,Common
1505,5,Common
1506,5,Common
1507,5,Common
1508,5,Gleaming
1509,5,Gleaming
1510,6,Common
1511,9,Gleaming
1512,5,Gleaming
1513,6,Common
1514,5,Gleaming
1515,7,Common
1516,5,Gleaming
1517,5,Gleaming
1518,7,Common
1519,5,Gleaming
1520,7,Modest
1521,7,Common
1522,7,Common
1523,5,Modest
1524,5,Gleaming
1525,5,Gleaming
1526,5,Gleaming
1527,5,Common
1528,5,Common
1529,5,Gleaming
1530,6,Common
1531,7,Common
1532,5,Enchanting
1533,5,Common
1534,5,Common
1535,5,Gleaming
1536,5,Common
1537,6,Common
1538,8,Gleaming
1539,5,Gleaming
1540,5,Gleaming
1541,6,Common
1542,6,Common
1543,5,Gleaming
1544,7,Gleaming
1545,5,Gleaming
1545,5,Gleaming
1546,5,Gleaming
1547,5,Gleaming
1548,8,Common
1549,7,Common
1550,5,Gleaming
1551,5,Common
1552,6,Common
1553,5,Common
1554,6,Common
1555,5,Gleaming
1556,5,Gleaming
1557,7,Common
1558,5,Gleaming
1559,5,Common
1560,5,Common
1561,4,Common
1562,8,Common
1563,6,Common
1564,5,Enchanting
1565,3,Common
1566,5,Gleaming
1567,5,Gleaming
1568,5,Common
1569,5,Gleaming
1570,4,Modest
1571,6,Gleaming
1572,5,Gleaming
1573,5,Common
1574,5,Gleaming
1575,9,Gleaming
1576,6,Common
1577,5,Common
1578,5,Gleaming
1579,5,Common
1580,5,Gleaming
1581,5,Gleaming
1582,9,Common
1583,8,Gleaming
1584,5,Gleaming
1585,6,Gleaming
1586,6,Common
1587,5,Common
1588,5,Gleaming
1589,5,Gleaming
1590,7,Common
1591,3,Common
1592,5,Common
1593,5,Gleaming
1594,5,Gleaming
1595,5,Enchanting
1596,7,Common
1597,6,Common
1598,5,Common
1599,5,Gleaming
1600,8,Common
1601,6,Common
1602,5,Gleaming
1603,8,Gleaming
1604,3,Common
1605,5,Common
1606,5,Common
1607,4,Common
1608,5,Gleaming
1609,5,Enchanting
1610,5,Gleaming
1611,6,Common
1612,2,Common
1613,7,Common
1614,5,Common
1615,7,Common
1616,5,Common
1617,5,Common
1618,5,Common
1619,5,Gleaming
1620,5,Gleaming
1621,5,Gleaming
1622,8,Common
