DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm
198,85000.0,3,10,493.0,7030.0,sqft,6,Common
199,155000.0,4,3,1093.0,9457.0,sqft,6,Common
200,145000.0,4,3,1329.0,11072.0,sqft,5,Common
201,261329.0,0,26,1218.0,10440.0,sqft,5,Enchanting
202,140500.0,4,11,1249.0,9750.0,sqft,6,Common
203,332200.0,4,17,1296.0,7740.0,sqft,5,Gleaming
204,145000.0,4,21,846.0,13015.0,sqft,6,Common
205,186500.0,4,5,1378.0,10261.0,sqft,5,Common
206,281500.0,4,17,1398.0,12568.0,sqft,5,Gleaming
207,149350.0,4,6,944.0,8544.0,sqft,6,Common
209,330000.0,4,7,1952.0,9044.0,sqft,5,Gleaming
211,184000.0,2,3,1028.0,5858.0,sqft,5,Gleaming
212,139000.0,4,3,1255.0,9600.0,sqft,6,Common
213,250000.0,4,22,1582.0,11500.0,sqft,7,Gleaming
214,80000.0,3,13,662.0,7404.0,sqft,6,Common
215,127500.0,4,3,664.0,9100.0,sqft,6,Common
216,228500.0,4,21,1668.0,9375.0,sqft,5,Gleaming
217,144000.0,3,21,652.0,4435.0,sqft,5,Gleaming
218,109900.0,4,6,695.0,7162.0,sqft,7,Common
219,180000.0,4,4,938.0,3182.0,sqft,5,Gleaming
221,139500.0,3,13,1119.0,6000.0,sqft,7,Gleaming
223,220000.0,4,21,1044.0,11088.0,sqft,5,Gleaming
224,313000.0,4,21,1656.0,11050.0,sqft,5,Gleaming
225,82500.0,4,11,1085.0,11900.0,sqft,5,Common
226,186800.0,4,0,1076.0,11024.0,sqft,5,Gleaming
228,142000.0,4,3,887.0,11556.0,sqft,9,Common
229,129850.0,3,10,1231.0,7288.0,sqft,7,Gleaming
230,250000.0,0,26,1532.0,9375.0,sqft,5,Gleaming
233,79900.0,4,20,574.0,5825.0,sqft,5,Common
234,136905.0,4,11,1292.0,11500.0,sqft,6,Common
235,177000.0,2,3,1028.0,10943.0,sqft,5,Gleaming
236,87000.0,3,13,959.0,9439.0,sqft,5,Common
237,187500.0,4,14,1320.0,13758.0,sqft,5,Gleaming
238,94000.0,4,3,673.0,7200.0,sqft,7,Common
239,157500.0,4,3,1136.0,17600.0,sqft,5,Common
240,135000.0,4,3,935.0,9600.0,sqft,5,Common
241,149700.0,3,13,950.0,7407.0,sqft,7,Common
242,337000.0,4,7,1819.0,9430.0,sqft,5,Gleaming
243,171000.0,4,2,859.0,9880.0,sqft,6,Common
244,161000.0,3,10,1676.0,10320.0,sqft,5,Common
245,190000.0,4,11,1533.0,14803.0,sqft,5,Common
246,290000.0,4,9,1285.0,16280.0,sqft,9,Enchanting
247,149000.0,3,10,1484.0,6876.0,sqft,5,Common
248,185750.0,4,11,1145.0,9156.0,sqft,7,Common
249,162000.0,4,3,1027.0,9610.0,sqft,6,Common
251,150000.0,4,11,1338.0,11050.0,sqft,5,Common
252,76500.0,4,3,664.0,7038.0,sqft,6,Common
253,158000.0,4,11,1629.0,10448.0,sqft,6,Common
254,118500.0,4,6,791.0,7943.0,sqft,5,Common
255,199900.0,0,26,954.0,4274.0,sqft,5,Gleaming
256,120000.0,4,16,809.0,12180.0,sqft,7,Common
257,174000.0,4,14,953.0,10331.0,sqft,7,Common
260,195000.0,4,21,1498.0,12393.0,sqft,5,Gleaming
261,75200.0,3,10,627.0,3672.0,sqft,7,Common
262,107000.0,4,16,859.0,7819.0,sqft,5,Common
263,257500.0,4,22,1640.0,10452.0,sqft,6,Gleaming
264,322500.0,4,7,1986.0,11002.0,sqft,5,Gleaming
265,205000.0,4,11,1510.0,10480.0,sqft,6,Common
266,315000.0,4,7,2023.0,9200.0,sqft,5,Gleaming
267,207500.0,4,11,1296.0,10240.0,sqft,6,Common
269,125500.0,3,10,887.0,5436.0,sqft,8,Common
271,100000.0,4,2,1439.0,10260.0,sqft,4,Common
272,180000.0,4,5,1160.0,7875.0,sqft,5,Gleaming
273,214000.0,4,17,1180.0,10171.0,sqft,5,Gleaming
274,184500.0,4,5,1056.0,13300.0,sqft,5,Gleaming
276,118000.0,4,19,664.0,5400.0,sqft,5,Common
277,251000.0,4,15,1270.0,5330.0,sqft,5,Gleaming
278,120000.0,3,10,838.0,6000.0,sqft,8,Common
279,192000.0,4,21,1122.0,8749.0,sqft,5,Gleaming
280,102900.0,4,3,930.0,9533.0,sqft,5,Common
281,160000.0,0,26,963.0,2160.0,sqft,5,Gleaming
282,157500.0,3,13,1183.0,10440.0,sqft,8,Common
283,236000.0,4,5,1735.0,8795.0,sqft,5,Gleaming
284,152500.0,4,3,1174.0,11419.0,sqft,7,Common
285,129000.0,4,6,702.0,8400.0,sqft,5,Common
286,214000.0,4,5,1584.0,8755.0,sqft,5,Gleaming
287,80900.0,1,10,806.0,5150.0,sqft,7,Common
288,150000.0,4,6,1246.0,9991.0,sqft,4,Common
289,147000.0,4,1,1190.0,2364.0,sqft,5,Common
290,85000.0,3,10,583.0,10320.0,sqft,8,Common
291,133500.0,4,6,711.0,8638.0,sqft,6,Common
292,128000.0,4,6,820.0,9600.0,sqft,7,Common
293,128500.0,4,6,759.0,9945.0,sqft,5,Common
294,129000.0,4,3,664.0,7200.0,sqft,8,Common
295,90000.0,3,10,756.0,7200.0,sqft,6,Common
296,305900.0,4,21,1538.0,10386.0,sqft,5,Gleaming
297,128250.0,3,20,1103.0,8674.0,sqft,6,Common
298,124000.0,4,3,788.0,7000.0,sqft,5,Common
299,112000.0,3,18,1001.0,1680.0,sqft,5,Common
300,81000.0,4,16,910.0,8410.0,sqft,3,Common
301,227000.0,4,26,1221.0,10000.0,sqft,5,Gleaming
303,241600.0,4,9,1338.0,15417.0,sqft,5,Gleaming
304,238500.0,0,26,1113.0,7500.0,sqft,5,Gleaming
305,146000.0,0,26,1070.0,3604.0,sqft,5,Gleaming
306,175000.0,4,3,1300.0,9900.0,sqft,5,Gleaming
307,189500.0,4,5,1236.0,10179.0,sqft,5,Common
308,126000.0,4,6,756.0,9308.0,sqft,5,Common
309,97500.0,4,3,1121.0,17503.0,sqft,5,Common
310,124900.0,4,21,599.0,7200.0,sqft,7,Common
312,184900.0,4,0,923.0,10083.0,sqft,5,Gleaming
313,85000.0,1,10,1173.0,8470.0,sqft,2,Modest
314,145000.0,4,19,1136.0,6292.0,sqft,7,Common
315,275000.0,4,26,1304.0,11194.0,sqft,5,Gleaming
316,177439.0,4,21,1043.0,10616.0,sqft,5,Gleaming
317,174000.0,4,11,987.0,10960.0,sqft,5,Common
318,159434.0,2,19,1169.0,4500.0,sqft,5,Common
319,250000.0,4,21,1239.0,11664.0,sqft,5,Gleaming
320,336860.0,4,17,1435.0,10110.0,sqft,5,Enchanting
321,181755.0,4,5,1150.0,15810.0,sqft,5,Gleaming
322,111750.0,3,18,1001.0,1680.0,sqft,5,Common
323,137500.0,3,16,1314.0,2522.0,sqft,5,Gleaming
324,124000.0,4,3,879.0,9204.0,sqft,5,Common
325,153500.0,4,21,788.0,8660.0,sqft,5,Common
327,124500.0,4,3,800.0,9600.0,sqft,6,Common
328,143000.0,3,13,871.0,9836.0,sqft,5,Common
329,236500.0,4,15,1243.0,5389.0,sqft,5,Gleaming
330,78000.0,1,10,719.0,8520.0,sqft,5,Common
331,115000.0,3,20,935.0,5520.0,sqft,7,Common
332,140000.0,4,3,856.0,9900.0,sqft,5,Common
333,163000.0,3,13,1359.0,10800.0,sqft,7,Common
336,37900.0,3,13,744.0,5925.0,sqft,6,Common
338,177000.0,4,16,1043.0,11512.0,sqft,7,Common
340,173500.0,4,2,1099.0,10114.0,sqft,5,Common
342,211000.0,4,21,1438.0,11250.0,sqft,5,Gleaming
343,127000.0,4,16,883.0,10682.0,sqft,6,Common
344,143750.0,3,21,652.0,4435.0,sqft,5,Gleaming
346,152000.0,3,10,1198.0,13710.0,sqft,5,Common
347,146500.0,4,3,1249.0,10858.0,sqft,6,Common
348,136500.0,4,20,815.0,6854.0,sqft,7,Common
349,119000.0,3,20,695.0,6000.0,sqft,7,Gleaming
350,161000.0,4,11,931.0,13068.0,sqft,5,Common
352,105000.0,4,13,1056.0,5400.0,sqft,6,Modest
353,153000.0,4,3,1009.0,9350.0,sqft,6,Common
354,88250.0,3,25,839.0,1899.99734323,sqft,4,Common
355,130000.0,4,3,664.0,9000.0,sqft,7,Common
357,104900.0,4,3,1336.0,12513.0,sqft,4,Common
358,150000.0,4,19,1993.0,10890.0,sqft,6,Common
361,230000.0,3,22,1267.0,3843.0,sqft,5,Enchanting
362,135000.0,3,10,1129.0,10320.0,sqft,7,Common
363,130000.0,4,2,672.0,6953.0,sqft,7,Common
364,119500.0,3,18,1001.0,1680.0,sqft,7,Common
367,70000.0,3,10,686.0,5160.0,sqft,6,Common
368,131000.0,3,20,936.0,6000.0,sqft,6,Common
369,125500.0,3,10,1046.0,7200.0,sqft,6,Common
370,150000.0,4,6,1477.0,11136.0,sqft,5,Common
373,84900.0,4,16,492.0,8777.0,sqft,6,Common
374,116000.0,4,3,709.0,9770.0,sqft,5,Common
375,79000.0,3,13,1107.0,5000.0,sqft,4,Common
376,127000.0,3,20,988.0,8635.0,sqft,5,Common
378,248500.0,4,21,1242.0,9345.0,sqft,5,Gleaming
379,112900.0,4,3,796.0,7584.0,sqft,5,Common
380,225000.0,0,26,1104.0,7993.0,sqft,5,Gleaming
381,209700.0,4,21,1391.0,10984.0,sqft,5,Gleaming
382,113000.0,3,13,1116.0,4456.0,sqft,5,Common
383,268000.0,4,7,1765.0,13346.0,sqft,5,Gleaming
384,227000.0,4,3,1529.0,14670.0,sqft,7,Gleaming
385,226000.0,4,21,1137.0,10665.0,sqft,5,Gleaming
386,55993.0,1,10,803.0,8712.0,sqft,5,Modest
387,134450.0,4,3,950.0,10011.0,sqft,6,Common
388,137900.0,4,3,1643.0,10680.0,sqft,3,Common
391,120000.0,4,6,825.0,9981.0,sqft,5,Common
392,149900.0,4,16,1127.0,17755.0,sqft,4,Common
393,332000.0,4,21,1323.0,10816.0,sqft,5,Enchanting
394,182000.0,4,24,1170.0,11075.0,sqft,5,Common
395,227000.0,4,21,1209.0,9808.0,sqft,5,Gleaming
396,135000.0,4,3,1435.0,9482.0,sqft,4,Common
397,167000.0,4,3,982.0,10628.0,sqft,5,Common
399,235000.0,4,16,1621.0,13728.0,sqft,7,Common
400,209000.0,4,0,1968.0,12128.0,sqft,4,Gleaming
401,143000.0,4,1,1119.0,2308.0,sqft,6,Common
402,191750.0,4,0,1399.0,11613.0,sqft,5,Gleaming
403,320000.0,4,17,1730.0,13650.0,sqft,5,Gleaming
404,174000.0,4,11,1018.0,8991.0,sqft,6,Common
405,187000.0,4,21,939.0,7360.0,sqft,5,Gleaming
406,178900.0,4,11,1443.0,8000.0,sqft,6,Common
407,190000.0,0,26,1292.0,3515.0,sqft,5,Gleaming
408,218000.0,4,0,1386.0,12361.0,sqft,7,Gleaming
409,194000.0,4,22,1320.0,12400.0,sqft,6,Common
410,136500.0,4,19,1303.0,8400.0,sqft,5,Common
411,158900.0,4,24,1067.0,12000.0,sqft,5,Common
412,128000.0,3,20,1047.0,6155.0,sqft,8,Common
413,174000.0,4,5,1199.0,11911.0,sqft,5,Gleaming
414,230000.0,4,21,1415.0,12420.0,sqft,5,Gleaming
415,136900.0,4,16,1426.0,9525.0,sqft,4,Common
416,108000.0,4,3,1028.0,8382.0,sqft,5,Common
418,113000.0,4,16,516.0,9340.0,sqft,6,Common
419,79500.0,3,25,839.0,1526.0,sqft,5,Common
420,139000.0,4,3,812.0,8176.0,sqft,6,Common
421,175000.0,4,5,1266.0,7917.0,sqft,5,Common
422,151500.0,4,3,959.0,10800.0,sqft,7,Common
423,146000.0,4,0,846.0,7500.0,sqft,5,Common
424,157000.0,3,13,1355.0,7200.0,sqft,7,Common
425,177500.0,4,3,1646.0,8970.0,sqft,6,Common
426,271900.0,4,0,1689.0,14684.0,sqft,7,Gleaming
427,231000.0,4,22,1163.0,7609.0,sqft,9,Gleaming
428,324000.0,4,17,1390.0,13514.0,sqft,5,Enchanting
429,123000.0,4,21,687.0,7200.0,sqft,5,Common
430,125000.0,4,16,895.0,10880.0,sqft,5,Common
431,104500.0,3,25,1003.0,2665.0,sqft,6,Common
434,187750.0,0,26,1000.0,7200.0,sqft,5,Gleaming
435,226700.0,0,26,1359.0,9803.0,sqft,5,Gleaming
436,96000.0,4,16,1047.0,7550.0,sqft,5,Modest
437,119900.0,4,16,904.0,16133.0,sqft,4,Common
438,135000.0,3,13,903.0,9000.0,sqft,8,Common
439,91000.0,4,19,607.0,6292.0,sqft,5,Common
440,130000.0,3,16,1314.0,2522.0,sqft,5,Gleaming
441,205000.0,4,11,1238.0,10603.0,sqft,7,Common
442,252000.0,4,17,1244.0,16163.0,sqft,5,Gleaming
443,202500.0,3,10,1764.0,13200.0,sqft,6,Common
444,235000.0,4,24,963.0,13500.0,sqft,7,Common
445,137000.0,3,13,1383.0,9639.0,sqft,8,Common
447,177000.0,0,26,1173.0,2117.0,sqft,5,Gleaming
448,162000.0,4,0,816.0,10778.0,sqft,6,Gleaming
449,119000.0,4,3,963.0,9600.0,sqft,5,Common
450,60000.0,4,19,336.0,8400.0,sqft,5,Common
451,140000.0,4,3,899.0,7315.0,sqft,6,Common
453,112500.0,4,13,710.0,15783.0,sqft,5,Common
454,205950.0,0,26,1280.0,8125.0,sqft,6,Gleaming
455,44000.0,1,10,613.0,9392.0,sqft,3,Common
456,146000.0,4,21,761.0,8428.0,sqft,7,Common
457,241000.0,0,26,1192.0,8125.0,sqft,5,Gleaming
458,140000.0,3,13,1393.0,7630.0,sqft,9,Common
459,159000.0,4,0,936.0,9605.0,sqft,6,Gleaming
460,165000.0,4,9,929.0,11250.0,sqft,6,Gleaming
461,130000.0,4,15,926.0,3701.0,sqft,5,Common
462,187500.0,4,3,1117.0,10573.0,sqft,6,Common
463,139950.0,4,3,879.0,7875.0,sqft,6,Common
464,249700.0,0,26,1273.0,11096.0,sqft,5,Gleaming
465,118000.0,3,18,936.0,1680.0,sqft,7,Common
466,127000.0,4,21,664.0,7200.0,sqft,5,Common
467,264132.0,4,26,1158.0,14587.0,sqft,5,Gleaming
468,202500.0,4,11,1246.0,14145.0,sqft,7,Gleaming
469,112000.0,4,19,990.0,6191.0,sqft,4,Common
470,147500.0,4,3,1169.0,12144.0,sqft,6,Common
471,144000.0,4,13,812.0,6979.0,sqft,5,Common
472,151000.0,0,26,923.0,3179.9955534059995,sqft,5,Common
473,110000.0,4,16,836.0,8308.0,sqft,6,Common
474,114000.0,4,13,799.0,8146.0,sqft,8,Gleaming
476,217500.0,4,21,1416.0,8826.0,sqft,5,Gleaming
477,98000.0,4,16,664.0,5604.0,sqft,6,Common
478,297000.0,4,21,1321.0,10637.0,sqft,5,Gleaming
479,142500.0,4,2,771.0,7936.9889016929,sqft,6,Common
480,64500.0,4,13,744.0,10800.0,sqft,6,Common
481,237500.0,4,3,1628.0,12925.0,sqft,7,Common
482,181000.0,4,0,1143.0,7441.0,sqft,5,Gleaming
483,119600.0,1,10,1531.0,8250.0,sqft,6,Common
484,233000.0,4,0,1603.0,10141.9858184414,sqft,5,Gleaming
486,176485.0,4,5,1001.0,8993.0,sqft,5,Gleaming
487,105500.0,4,3,639.0,7227.0,sqft,6,Common
488,232600.0,0,26,1145.0,11216.0,sqft,5,Gleaming
489,131500.0,3,21,652.0,4435.0,sqft,5,Gleaming
490,144000.0,4,3,1172.0,11344.0,sqft,5,Common
491,204750.0,4,21,1373.0,9337.0,sqft,5,Common
492,45000.0,3,13,470.0,5925.0,sqft,4,Common
493,150000.0,4,16,1107.0,7711.0,sqft,3,Common
494,172000.0,4,3,958.0,12700.0,sqft,5,Common
495,156000.0,4,3,1329.0,12099.0,sqft,6,Common
496,144000.0,4,6,701.0,12968.0,sqft,6,Common
497,129000.0,4,16,879.0,9571.0,sqft,6,Common
498,293200.0,4,21,1232.0,10200.0,sqft,5,Gleaming
499,124500.0,4,3,678.0,13008.0,sqft,5,Common
501,180500.0,4,20,1403.0,13515.0,sqft,6,Common
502,100000.0,3,18,759.0,1680.0,sqft,5,Common
503,243500.0,4,11,1919.0,10791.0,sqft,5,Common
504,64000.0,4,16,861.0,11791.9835112464,sqft,5,Common
505,287090.0,4,26,1213.0,9262.0,sqft,5,Gleaming
506,161500.0,4,11,1032.0,9790.0,sqft,5,Common
507,80000.0,4,16,710.0,12180.0,sqft,4,Common
509,173000.0,4,2,1255.0,10457.0,sqft,7,Gleaming
510,207000.0,4,21,1125.0,14753.0,sqft,5,Common
511,143500.0,4,21,975.0,9286.0,sqft,7,Common
512,148000.0,4,2,930.0,11080.0,sqft,6,Common
513,93000.0,3,20,878.0,6000.0,sqft,5,Common
514,312500.0,0,26,1816.0,8413.0,sqft,5,Gleaming
515,146000.0,4,3,923.0,9230.0,sqft,8,Common
516,124500.0,4,2,682.0,10447.0,sqft,6,Common
517,158900.0,4,6,1066.0,11616.0,sqft,5,Common
518,274000.0,4,21,1497.0,9720.0,sqft,5,Gleaming
519,165250.0,4,6,1001.0,6960.0,sqft,8,Common
520,155000.0,4,1,1190.0,2308.0,sqft,6,Common
521,172785.0,4,5,1119.0,15578.0,sqft,5,Gleaming
522,153000.0,4,3,859.0,11332.0,sqft,7,Common
524,127000.0,4,20,963.0,7438.0,sqft,8,Common
525,139900.0,3,20,1089.0,6000.0,sqft,7,Common
526,333168.0,4,7,1999.0,14774.0,sqft,5,Gleaming
528,207500.0,4,15,1607.0,5062.0,sqft,5,Gleaming
530,156000.0,0,26,1116.0,3768.0,sqft,5,Gleaming
531,138000.0,4,3,909.0,8000.0,sqft,5,Common
532,142000.0,4,6,701.0,6768.0,sqft,8,Common
533,260400.0,4,7,1323.0,10593.0,sqft,5,Gleaming
534,149500.0,0,26,923.0,2544.0,sqft,5,Gleaming
535,65000.0,3,13,1221.0,12205.0,sqft,1,Common
