DI,Craftsmanship,EraConstructed
259,9,1662
260,7,1665
261,5,1157
262,6,1540
263,7,1067
264,8,1562
265,7,1550
266,8,1446
267,6,1468
268,8,1771
269,4,1103
270,7,1477
271,5,1466
272,7,1745
273,7,1703
274,7,1651
275,5,1306
276,5,1326
277,8,1774
278,6,1199
279,7,1633
280,5,1244
281,7,1576
282,5,1137
283,7,1660
284,7,1039
285,6,1247
286,7,1432
287,4,1023
288,4,1498
289,6,1447
290,5,1160
291,5,1394
292,4,1342
293,5,1296
294,5,1296
295,6,1013
296,8,1781
297,5,1220
298,5,1218
299,5,1247
300,5,1028
301,8,1618
302,7,1781
303,7,1451
304,8,1666
305,7,1735
306,6,1235
307,6,1482
308,5,1247
309,6,1160
310,5,1397
311,3,1134
312,7,1603
313,3,1103
314,7,1024
315,8,1769
316,7,1720
317,6,1404
318,5,1079
319,7,1726
320,9,1664
321,6,1799
322,5,1395
323,7,1619
324,5,1218
325,5,1495
326,7,1425
327,5,1250
328,6,1789
329,8,1424
330,3,1199
331,5,1178
332,5,1269
333,7,1041
334,9,1760
335,9,1757
336,3,1193
337,7,1492
338,6,1226
339,9,1679
340,5,1754
341,7,1429
342,7,1613
343,4,1239
344,6,1699
345,6,1070
346,5,1251
347,5,1296
348,5,1084
349,6,1153
350,6,1586
351,7,1173
352,4,1192
353,5,1221
354,4,1263
355,4,1320
356,6,1194
357,4,1023
358,5,1113
359,5,1478
360,7,1433
361,8,1635
362,6,1176
363,5,1377
364,5,1318
365,5,1383
366,6,1166
367,4,1029
368,6,1097
369,5,1076
370,6,1203
371,8,1741
372,8,1744
373,3,1149
374,5,1258
375,5,1054
376,5,1019
377,7,1567
378,8,1708
379,5,1380
380,7,1668
381,7,1656
382,4,1057
383,7,1588
384,6,1247
385,7,1761
386,5,1269
387,5,1366
388,5,1324
389,10,1411
390,9,1775
391,5,1209
392,5,1380
393,9,1689
394,6,1563
395,7,1790
396,5,1290
397,7,1349
398,6,1295
399,6,1172
400,6,1454
401,6,1533
402,6,1464
403,8,1720
404,7,1453
405,7,1741
406,6,1364
407,7,1740
408,6,1442
409,5,1053
410,6,1177
411,6,1286
412,6,1194
413,6,1615
414,7,1672
415,6,1200
416,4,1236
417,5,1227
418,4,1149
419,4,1211
420,5,1399
421,6,1516
422,5,1287
423,6,1761
424,7,1099
425,5,1256
426,7,1566
427,8,1192
428,9,1650
429,5,1208
430,5,1304
431,5,1431
432,5,1070
433,6,1343
434,7,1770
435,7,1734
436,4,1121
437,5,1245
438,5,1158
439,6,1012
440,6,1662
441,6,1504
442,8,1735
443,6,1292
444,6,1244
445,4,1074
446,6,1454
447,6,1624
448,7,1501
449,6,1221
450,2,1103
451,5,1366
452,4,1333
453,5,1223
454,7,1638
455,3,1141
456,5,1571
457,7,1684
458,5,1109
459,7,1703
460,6,1431
461,8,1441
462,6,1363
463,5,1217
464,8,1667
465,6,1292
466,5,1354
467,9,1782
468,7,1554
469,5,1108
470,4,1292
471,6,1568
472,7,1775
473,4,1345
474,4,1009
475,8,1355
476,7,1758
477,5,1108
478,8,1633
479,6,1495
480,4,1057
481,6,1298
482,7,1744
483,5,950
484,7,1602
485,7,1797
486,7,1757
487,6,1369
488,8,1749
489,6,1786
490,5,1363
491,6,1592
492,2,1063
493,4,1551
494,6,1362
495,5,1360
496,5,1323
497,5,1266
498,8,1733
499,6,1342
500,8,1730
501,6,1065
502,6,1314
503,6,1416
504,4,1153
505,8,1691
506,6,1366
507,4,1017
508,8,1798
509,5,1219
510,7,1485
511,5,1547
512,6,1458
513,5,1003
514,8,1539
515,5,1381
516,5,1446
517,6,1587
518,9,1660
519,7,1065
520,6,1464
521,6,1730
522,5,1247
523,5,904
524,5,1188
525,6,1173
526,9,1543
527,10,1741
528,7,1585
529,8,1543
530,7,1470
531,5,1318
532,6,1243
533,7,1488
534,7,1631
535,3,1118
536,5,1070
537,5,1259
538,7,1777
539,7,1472
540,5,1273
541,6,1104
542,5,1358
543,6,1308
544,6,1624
545,9,1786
546,6,1256
547,6,1465
548,4,1323
549,7,1285
550,7,1415
551,6,1291
552,5,1271
553,7,1492
554,5,1191
555,8,1470
556,5,1299
557,7,1694
557,7,1694
558,5,1316
559,6,1129
560,7,1791
561,5,1252
562,5,1389
563,4,1356
564,7,1473
565,7,1654
566,5,1304
567,7,1798
568,4,1358
569,7,1455
570,6,1442
571,5,1286
572,5,1441
573,8,1525
574,5,1208
575,5,1496
576,5,1244
577,5,1394
578,4,1116
579,5,1342
580,6,1094
581,4,1111
582,6,1686
583,6,1005
584,7,1681
585,7,1344
586,7,1508
587,7,1734
588,7,1419
589,9,1649
590,6,1125
591,7,1082
592,8,1618
593,7,1395
594,7,1664
595,5,1012
596,6,1068
597,5,1364
598,5,1236
599,5,1291
600,8,1562
601,8,1441
602,7,888
603,7,1468
604,7,1170
605,8,1559
606,5,1388
607,7,1423
608,5,1282
609,8,1674
610,5,1519
611,7,1690
612,8,1702
613,6,1247
614,6,1510
615,7,1728
616,7,1562
617,7,1784
618,4,1245
619,6,1164
620,8,1724
621,6,1284
622,6,1087
623,6,1367
624,8,1546
625,5,1587
626,4,1215
627,5,1477
628,7,1786
629,5,1317
630,6,1434
631,3,1186
632,5,1296
633,5,1377
634,6,1624
635,7,1599
636,6,1142
637,6,1313
638,7,1722
639,6,1024
640,8,1044
641,6,1509
642,2,1188
643,7,1046
644,7,1703
645,8,1745
646,7,1603
647,7,1490
648,5,1563
649,8,1705
650,6,1014
651,7,1454
652,8,1502
653,6,1275
654,4,1336
655,6,1436
656,7,1714
657,6,1487
658,6,1118
659,6,1402
660,5,1387
661,4,1315
662,5,1426
663,4,1008
664,6,1457
665,7,1647
666,5,1151
667,6,1120
668,6,1743
669,4,1237
670,5,1197
671,4,1209
672,7,1654
673,5,1020
674,5,1588
675,4,1016
676,4,1312
677,7,1629
678,7,1230
679,5,1400
680,5,1177
681,3,1035
682,6,1313
683,5,1233
684,6,1481
685,5,1159
686,8,1605
687,8,1798
688,5,1173
689,5,1176
690,5,1135
691,8,1717
691,8,1717
692,7,1159
693,6,1652
694,5,1264
695,6,1287
696,8,1628
697,6,1366
698,7,1693
699,5,1169
700,8,1428
701,8,1426
702,4,1283
703,8,1719
704,9,1679
705,6,1352
706,6,959
707,6,1396
708,6,1793
709,6,1332
710,6,1360
711,6,1278
712,7,1520
713,9,1609
714,8,1619
715,5,1270
716,6,1075
717,8,1617
718,5,1671
719,5,1219
719,5,1219
720,6,1468
721,9,1663
722,7,1440
723,7,1637
724,5,1505
725,5,1345
726,5,1518
727,9,1695
728,7,1466
729,9,1759
730,6,1415
731,8,1621
732,3,1142
733,7,1465
734,9,1796
735,7,1391
735,7,1391
736,6,1369
737,5,1374
738,7,1576
739,4,1000
740,7,1454
741,6,1216
742,7,1741
743,5,1427
744,5,1199
745,5,1308
746,6,1598
747,6,1634
748,8,1627
749,6,1293
750,7,1753
751,6,1027
752,8,1789
753,4,1369
754,5,1419
755,8,1512
756,6,1316
757,6,1442
758,5,1058
759,6,1325
760,8,1688
761,6,1787
762,8,1729
763,5,1578
764,5,1220
765,7,1713
766,5,1541
767,5,1536
768,6,1084
769,6,1096
770,9,1618
771,5,1087
772,8,1729
773,8,1661
774,5,1388
775,7,996
776,5,1253
777,8,1418
778,5,1033
779,7,1577
780,5,1265
781,6,1030
782,10,1619
783,6,1588
784,5,1040
785,4,1242
786,7,1763
787,5,1372
788,3,1014
789,3,1047
790,6,1320
791,8,1570
792,7,1486
793,4,1307
794,5,1059
795,5,1133
796,6,1285
797,7,1563
798,7,1711
799,4,1293
800,6,1584
801,6,1398
802,6,1491
803,5,1213
804,6,1459
805,7,1410
806,6,1748
807,6,1557
808,9,1613
809,6,1355
810,5,1324
811,6,1424
812,8,1424
813,8,1663
814,9,1655
815,7,1335
816,2,1012
817,8,1587
818,6,1699
819,4,1176
820,6,1596
821,5,1251
822,7,1007
823,6,1542
824,8,1699
825,5,1273
826,5,1399
827,4,1093
828,6,1447
829,8,1712
830,8,1522
831,5,1161
832,6,1747
833,7,1562
834,7,1307
835,5,1203
836,2,1107
837,8,1476
838,6,1319
839,7,1795
840,5,1472
841,5,1345
842,7,1632
843,6,1271
844,8,1084
845,6,1256
846,4,1060
847,6,1488
848,7,1757
849,8,1656
850,8,1415
851,4,1084
852,7,1711
853,6,1528
854,6,1284
855,5,1031
856,5,1329
857,8,1573
858,6,1291
859,7,1578
860,9,1624
861,5,1082
862,6,1767
863,6,1287
864,7,1694
865,8,1619
866,5,1098
867,7,1290
868,6,1281
869,8,1694
870,7,1530
871,6,1533
872,5,1263
873,6,1317
874,7,1740
875,7,1678
876,5,1318
877,8,1670
878,6,1693
879,8,1635
880,6,1303
880,6,1303
881,6,1011
882,5,1332
883,6,1161
884,7,1637
885,5,1586
886,7,1724
887,5,1139
888,6,1354
889,7,1694
890,8,1458
891,5,1372
892,4,1043
893,4,1362
894,6,1304
895,5,1321
896,7,1700
897,6,1094
898,7,1646
899,6,1357
900,6,1241
901,4,1221
902,7,1457
903,8,1773
904,9,1744
905,9,1589
906,7,1553
907,5,1376
908,5,1267
909,7,1567
910,6,1773
911,8,1483
912,6,1011
913,6,1390
914,5,1076
915,9,1600
916,8,1682
917,6,1339
918,7,1431
919,7,1588
920,7,1661
921,8,1477
922,5,1109
923,6,1413
924,6,1194
925,5,1184
926,5,1194
927,7,1796
928,10,1731
929,7,1465
930,8,1733
931,5,1336
932,4,1325
933,8,1730
934,6,1450
935,7,1459
936,6,1771
937,7,1710
938,5,1045
939,8,1611
940,5,1374
941,4,1233
942,7,1632
943,5,1236
944,6,1090
945,7,1530
946,5,1396
947,8,1782
948,7,1609
949,6,1471
950,5,1287
951,5,1132
952,8,1769
953,9,1619
954,5,1067
955,6,1477
956,4,1287
957,7,1602
958,10,1689
959,5,1238
960,5,1304
961,4,1346
962,5,1142
963,8,1740
964,5,1484
965,7,1670
966,8,1786
967,7,1504
968,9,1797
969,7,1295
970,8,1780
971,6,1458
972,8,1197
973,7,1591
974,7,1794
975,9,1601
976,7,1481
977,6,1680
978,5,1206
979,5,1013
980,4,1046
981,6,1782
982,6,1640
983,4,1246
984,5,1306
985,6,1673
986,5,1131
987,8,1647
988,5,1303
989,7,1169
990,4,1131
991,5,1241
992,6,1201
993,6,1454
994,7,1737
995,6,1211
996,8,1782
997,7,1432
998,5,1375
999,6,1319
1000,5,1478
1001,5,1200
1002,8,1707
1003,5,1286
1004,5,1329
1005,7,1770
1006,9,1750
1007,6,1369
1007,6,1369
1008,6,1210
1009,6,1467
1009,6,1467
1010,7,1476
1011,5,1046
1012,4,1380
1013,6,1526
1014,5,1138
1015,5,1300
1016,8,1671
1017,6,1572
1018,8,1551
1019,5,1604
1020,7,1325
1021,5,1406
1022,8,1776
1023,5,1051
1024,8,1532
1025,5,1120
1026,5,1222
1027,6,1086
1028,5,1214
1029,5,1213
1030,6,1013
1031,6,1340
1032,5,1282
1033,5,1337
1034,6,1773
1035,7,1413
1036,4,1088
1037,6,1798
1038,5,1116
1039,5,1008
1040,5,1145
1041,6,1285
1042,6,1408
1043,7,1285
1044,6,1144
1045,7,1517
1046,8,1786
1047,8,1531
1047,8,1531
1048,5,1087
1049,6,1006
1050,7,1432
1051,7,1070
1052,7,1752
1053,3,1204
1054,5,1080
1055,4,1354
1056,7,1688
1057,5,1247
1058,7,1792
1059,6,1514
1060,5,1195
1061,7,1686
1062,5,1212
1063,5,1295
1064,5,1291
1065,6,1398
1066,6,1504
1067,5,1100
1068,5,1447
1069,6,1002
1070,5,1361
1071,5,1012
1072,4,1099
1073,5,1124
1074,9,1784
1075,7,1770
1076,6,1384
1077,5,1465
1078,7,1680
1079,8,1789
1080,5,1560
1081,5,1398
1082,6,1770
1083,6,1313
1084,5,1375
1085,6,1598
1086,7,1580
1087,7,1020
1088,6,1533
1089,7,1618
1090,5,1419
1091,7,1058
1092,6,1001
1093,7,1466
1094,5,1558
1095,7,1498
1096,7,1104
1097,5,1385
1098,8,1696
1099,5,1320
1100,4,1021
1101,7,1767
1102,9,1785
1103,5,1319
1104,6,1346
1105,8,1795
1106,6,1039
1107,7,1761
1108,7,1165
1109,8,1402
1110,6,1057
1111,5,1301
1112,7,1076
1113,7,1179
1114,8,1772
1115,7,1736
1116,5,1391
1117,7,1767
1118,6,1347
1119,7,1292
1120,5,1303
1121,5,1711
1122,4,1220
1123,5,1392
1124,4,1014
1125,5,1510
1126,4,998
1127,7,1760
1128,4,1338
1129,8,1021
1130,7,1549
1131,6,1250
1132,8,1753
1133,6,1584
1134,5,1239
1135,6,1106
1136,9,1728
1137,5,1019
1138,5,1300
1139,5,1703
1140,6,1552
1141,8,1608
1142,3,1167
1143,9,1774
1144,6,1792
1145,6,1129
1146,7,1470
1147,7,1559
1148,7,1575
1149,6,1187
1150,4,1296
1151,6,1598
1152,5,1034
1153,6,1014
1154,8,1731
1155,5,1230
1156,6,1538
1157,5,1522
1157,5,1522
1158,6,1507
1159,7,1559
1160,6,1547
1161,8,1651
1162,6,1241
1163,5,1337
1164,4,1048
1165,7,1503
1166,5,1271
1167,7,1531
1168,5,1313
1169,6,1687
1170,6,1648
1171,4,1068
1172,8,1491
1173,9,1787
1174,8,1791
1175,8,1705
1176,5,1397
1177,6,1271
1178,3,1311
1179,5,1331
1180,8,1522
1181,4,1371
1182,6,1475
1183,6,1440
1184,5,1123
1185,5,1380
1186,6,1195
1187,7,1670
1188,7,1537
1189,5,1383
1190,6,1217
1191,8,1754
1192,7,1404
1193,4,1191
1194,6,1204
1195,7,1617
1196,8,1666
1197,6,1566
1198,4,1176
1199,7,1777
1200,5,1043
1201,8,1732
1202,8,1693
1203,6,1200
1204,5,1355
1205,6,1656
1206,6,1073
1207,6,1277
1208,5,1084
1209,7,1769
1210,7,1257
1211,5,1213
1212,7,1669
1213,6,1588
1214,5,1037
1215,6,1704
1216,3,1360
1217,6,1697
1218,6,1520
1219,8,1631
1220,7,1478
1221,5,1170
1222,4,1286
1223,4,1589
1224,6,1365
1225,5,1215
1226,6,1162
1227,7,1638
1228,6,1197
1229,5,1459
1230,5,1357
1231,5,1111
1232,5,1547
1233,6,1353
1234,6,1476
1235,6,1367
1236,6,1482
1237,9,1651
1238,7,1649
1239,5,1028
1240,5,922
1241,4,1236
1242,6,1562
1243,4,1370
1244,6,1466
1245,7,1503
1246,5,1436
1247,7,1440
1248,7,1437
1249,6,1456
1250,5,1341
1251,6,1231
1252,9,1721
1253,10,1734
1254,7,1736
1255,5,1280
1256,7,1072
1257,7,1601
1258,5,1349
1259,5,1533
1260,8,1658
1261,5,1357
1262,7,1706
1263,6,1315
1264,5,1530
1265,4,1079
1266,7,1726
1267,6,1390
1268,3,1054
1269,8,1493
1270,8,1753
1271,6,1157
1272,7,1797
1273,5,1224
1274,8,1629
1275,6,1374
1276,5,1361
1277,7,1373
1278,5,1621
1279,5,1236
1280,5,1446
1281,7,1673
1282,5,1533
1283,7,1689
1284,7,1762
1285,7,1012
1286,6,1162
1287,2,1043
1288,8,1603
1289,7,1504
1290,5,1460
1291,5,1275
1292,5,1098
1293,8,1647
1294,5,1398
1295,7,1564
1296,5,1187
1297,5,1055
1298,7,1404
1299,7,971
1300,6,1116
1301,6,1462
1302,6,1047
1303,6,1568
1304,8,1668
1305,6,1475
1306,7,1729
1307,5,1404
1308,5,1253
1309,5,1292
1310,5,1371
1311,1,1077
1312,4,1492
1313,4,1385
1314,6,1564
1315,5,1154
1316,5,1378
1317,6,1382
1318,7,1517
1319,6,1523
1320,6,1364
1321,8,1552
1322,7,1671
1323,7,1490
1324,5,1149
1325,5,1077
1326,4,1156
1327,6,1610
1328,5,1204
1329,7,1672
1330,7,1617
1331,5,1524
1332,6,1598
1333,8,1792
1334,5,1364
1335,5,1417
1336,7,1485
1337,4,1384
1338,8,1791
1339,4,1183
1340,5,1694
1341,5,1006
1342,9,1692
1343,6,1520
1344,9,1619
1345,5,1245
1346,6,1019
1347,5,1242
1348,4,1028
1349,6,1428
1350,7,1068
1351,6,1256
1352,10,1696
1353,5,1342
1354,7,1478
1355,8,1740
1356,7,1000
1357,6,1507
1358,7,1681
1359,4,1119
1360,8,1411
1361,8,1667
1362,5,1092
1363,5,1570
1364,6,1120
1365,5,1364
1366,9,1669
1367,8,1701
1368,8,1725
1369,8,1782
1370,5,1151
1371,3,1150
1372,5,1437
1373,6,1023
1374,6,1467
1375,6,1691
1376,5,1199
1377,4,1382
1378,6,1744
1379,7,1112
1380,4,1058
1381,7,1777
1382,6,1596
1383,7,1070
1384,8,1162
1385,6,1205
1386,9,1631
1387,6,1415
1388,5,1379
1389,4,1297
1390,3,1069
1391,9,1729
1392,5,1385
1393,5,1008
1394,6,1402
1395,5,1131
1396,7,1216
1397,4,1300
1398,7,887
1399,7,1795
1400,5,1687
1401,5,1389
1402,5,1397
1403,8,1638
1404,5,1022
1405,7,1546
1406,7,1719
1407,8,1797
1408,4,1080
1409,5,1456
1410,5,1312
1411,6,1101
1412,8,1678
1413,7,1478
1414,5,1226
1415,5,1271
1416,4,1390
1417,7,1663
1418,6,1492
1419,4,1069
1420,6,1477
1421,7,1274
1422,7,1698
1423,10,895
1424,5,1301
1425,4,956
1426,5,1285
1427,6,1212
1428,3,1111
1429,7,1774
1430,8,1478
1431,6,1346
1432,8,1433
1433,5,1425
1434,6,1211
1435,5,1279
1436,5,1313
1437,8,1602
1438,7,1569
1439,6,1584
1440,8,1625
1441,5,1207
1442,7,1537
1443,3,1150
1444,7,1694
1445,8,1678
1446,6,1077
1447,9,1712
1448,5,1161
1449,7,1566
1450,5,1389
1451,7,1402
1452,5,1378
1453,5,1109
1454,6,1366
1455,5,1712
1456,5,1239
1457,4,1130
1458,6,1357
1459,6,1056
1460,7,1681
1461,6,1450
1462,8,1542
1463,7,1590
1464,6,1407
1465,5,1303
1466,6,1572
1467,7,1791
1468,4,1312
1469,5,1261
1470,5,1387
1471,5,1255
1472,9,1507
1473,5,1228
1474,5,951
1475,6,1206
1476,6,1351
1477,5,1177
1478,5,1382
1479,5,1145
1480,5,1315
1481,7,1469
1481,7,1469
1482,4,1344
1483,5,1240
1484,9,1662
1485,7,1788
1486,6,1400
1487,4,1193
1488,5,1079
1489,6,1451
1490,8,1434
1491,7,1766
1492,5,1089
1493,6,1191
1494,6,1060
1495,2,1028
1496,6,1493
1497,6,1384
1498,9,1523
1498,9,1523
1499,6,1354
1500,7,1745
1501,5,1428
1502,10,1721
1503,5,1113
1504,4,1013
1505,5,1333
1506,5,1221
1507,6,1597
1508,6,1464
1509,7,1599
1510,5,1200
1511,8,1143
1512,6,1785
1513,6,1301
1514,7,1607
1515,6,1321
1516,8,1709
1517,7,1736
1518,6,1105
1519,7,1739
1520,4,1135
1521,6,1327
1522,6,1213
1523,5,1131
1524,7,1600
1525,7,1713
1526,7,1747
1527,6,1414
1528,4,1391
1529,7,1734
1530,5,1193
1531,5,1355
1532,8,1722
1533,6,1341
1534,6,1499
1535,7,1733
1536,4,1333
1537,6,1232
1538,5,1439
1539,7,1666
1540,7,1762
1541,4,1137
1542,6,1209
1543,7,1604
1544,4,914
1545,8,1621
1545,8,1621
1546,8,1414
1547,7,1752
1548,6,1501
1549,6,1173
1550,6,1470
1551,6,1523
1552,5,1488
1553,6,1567
1554,7,1186
1555,7,1689
1556,7,1676
1557,5,1576
1558,8,1732
1559,6,1382
1560,6,1150
1561,5,1313
1562,4,1316
1563,5,1204
1564,9,1777
1565,3,1124
1566,7,1750
1567,7,1698
1568,4,1735
1569,7,1603
1570,4,1305
1571,7,1751
1572,8,1677
1573,5,1041
1574,8,1679
1575,5,1043
1576,7,1341
1577,5,1376
1578,7,1680
1579,6,1433
1580,7,1666
1581,7,1437
1582,5,916
1583,6,1190
1584,6,1607
1585,7,1710
1586,6,1097
1587,4,1319
1588,7,1516
1589,6,1671
1590,5,1196
1591,5,1072
1592,5,1256
1593,8,1790
1594,7,1688
1595,10,1619
1596,5,1353
1597,5,1360
1598,7,1459
1599,8,1698
1600,6,1141
1601,5,1269
1602,9,1698
1603,7,1499
1604,5,1372
1605,6,1578
1606,6,1312
1607,5,1193
1608,7,1797
1609,8,1744
1610,7,1779
1611,4,1058
1612,5,1573
1613,7,1022
1614,4,1221
1615,4,1189
1616,6,1525
1617,4,1218
1618,5,1151
1619,8,1771
1620,8,1750
1621,7,1740
1622,6,1153
1623,5,1327
1624,7,1628
1625,7,1251
1626,9,1754
1627,5,1042
1628,5,1271
1629,6,1522
1630,5,1035
1631,6,1669
1632,5,1567
1633,7,1433
1634,6,1330
1635,5,1314
1636,6,1372
1637,6,1423
1638,7,1648
1639,5,1582
1640,7,1468
1641,8,1420
1642,6,1222
1643,7,1462
1644,6,1164
1645,8,1771
1646,5,1318
1647,9,1630
1648,6,1437
1649,6,1356
1650,7,1688
1651,5,1273
1652,7,1735
1653,6,1311
1654,5,1284
1655,7,1716
1656,5,1419
1657,5,1465
1658,6,1560
1659,5,1262
1660,7,1749
1661,7,1266
1662,6,1697
1663,5,1050
1664,7,1627
1665,8,1649
1666,4,1396
1667,6,1207
1668,7,1649
1669,5,1215
1670,10,1675
1671,5,1330
1672,6,1375
1673,5,1034
1674,5,1221
1675,7,1152
1676,6,1285
1677,5,1244
1678,7,1788
1679,6,1631
1680,5,1322
1681,2,1098
1682,5,1021
1683,5,1379
1684,7,1675
1685,6,1519
1685,6,1519
1686,6,1610
1687,5,1313
1688,7,1665
1689,8,1446
1690,5,1074
1691,5,1299
1692,9,1585
1693,6,1130
1694,5,1445
1695,9,1714
1696,5,1695
1697,6,1144
1698,7,1038
1699,6,1574
1700,7,1624
1701,5,1160
1702,7,1089
1703,7,1027
1704,6,1234
1705,5,1360
1706,8,1732
1707,10,1483
1708,6,1693
1709,5,1222
1710,5,1326
1711,8,1796
1712,4,1101
1713,8,1482
1714,4,1334
1715,5,1069
1716,7,1561
1717,6,1510
1718,6,1040
1719,7,1751
1720,5,1430
1721,6,1041
1722,9,1661
1723,4,1278
1724,6,1766
1725,6,1790
1726,7,1425
1727,4,1197
1728,5,1496
1729,5,1169
1730,7,1549
1731,5,1388
1732,7,1536
1733,9,1747
1734,7,1152
1735,6,1401
1736,10,1763
1737,4,1233
1738,5,1284
1739,6,1131
1740,8,1672
1741,5,1032
1742,7,1554
1743,5,1348
1744,5,1384
1745,6,1748
1746,5,1277
1747,6,1739
1748,6,1400
1749,7,1168
1750,7,1725
1751,5,1296
1752,7,1676
1753,6,1472
1754,3,1132
1755,5,1316
1756,5,1471
1757,5,1375
1758,9,1621
1759,6,1613
1760,8,1657
1761,8,1695
1762,5,1319
1763,5,1079
1764,7,1797
1765,10,1721
1766,6,1329
1767,6,1529
1768,9,1613
1769,6,1061
1770,8,1518
1771,6,1020
1772,7,1669
1773,7,1656
1774,6,1132
1775,6,1168
1776,5,1500
1777,6,1448
1778,6,1729
1779,4,1102
1780,7,1681
1781,8,1641
1782,5,1403
1783,7,1008
1784,7,1550
1785,7,1423
1786,6,1311
1787,5,1444
1788,7,1721
1789,6,1232
1790,9,1613
1791,5,1022
1792,4,1135
1793,4,1179
1794,5,1311
1795,7,1769
1796,6,1283
1797,5,1239
1798,4,1294
1799,9,1625
1800,5,1425
1801,6,1393
1802,9,1696
1803,8,1727
1804,6,1777
1805,9,1627
1805,9,1627
1806,7,1342
1807,8,1483
1808,5,1128
1809,4,1390
1810,6,1576
1811,8,1546
1812,6,1060
1813,6,1288
1814,7,1394
1815,5,1207
1816,9,1731
1817,9,1795
1818,7,1732
1819,6,1242
1820,6,1117
1821,4,1282
1822,5,1470
1823,7,1464
1824,4,890
1825,6,1022
1826,6,1243
1827,7,1632
1828,7,1514
1829,6,1151
1830,5,1260
1831,5,1347
1832,6,1170
1833,8,1723
1834,7,1715
1835,7,1678
1836,7,1708
1837,7,1271
1838,5,1388
1839,8,1693
1840,5,1313
1841,6,1107
1842,5,1391
1843,6,1534
1844,7,1219
1845,7,1557
1846,6,1322
1847,6,1468
1848,6,1167
1849,7,1316
1850,7,1499
1851,7,1590
1852,5,1088
1853,6,1098
1854,5,1207
1855,8,1502
